                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5616,                 5.2554,                 4.5089,                      0,                      0,                      0,                      0,                 2.8214,                 4.9208,                  4.148,                 0.0955,                 0.0005,                 0.0005
                      1,                 3.7904,                 5.0389,                 4.3989,                      0,                      0,                      0,                      0,                 2.8096,                 4.7608,                 4.1353,               0.090089,              0.0010891,              0.0010891
                      2,                 3.4738,                 4.7161,                 4.3473,                      0,                      0,                      0,                      0,                 2.7999,                 4.6566,                 4.1257,               0.084666,              0.0016663,              0.0016663
                      3,                 3.3414,                 4.4368,                 4.3067,                      0,                      0,                      0,                      0,                 2.7917,                 4.6048,                 4.1182,               0.079232,              0.0022317,              0.0022317
                      4,                 3.5309,                 4.4374,                 4.2955,                      0,                      0,                      0,                      0,                 2.7882,                 4.5607,                  4.111,               0.073785,              0.0027852,              0.0027852
                      5,                 3.6002,                 4.5314,                 4.2315,                      0,                      0,                      0,                      0,                 2.7852,                 4.5224,                 4.1056,               0.068327,              0.0033267,              0.0033267
                      6,                 3.2949,                 4.1358,                 4.1947,                      0,                      0,                      0,                      0,                 2.7813,                 4.4893,                 4.0994,               0.062856,              0.0038565,              0.0038565
                      7,                 3.3638,                 4.0319,                 4.2055,                      0,                      0,                      0,                      0,                 2.7766,                 4.4646,                 4.0941,               0.057374,              0.0043743,              0.0043743
                      8,                 3.1641,                 3.8714,                  4.153,                      0,                      0,                      0,                      0,                 2.7738,                 4.4474,                  4.091,                0.05188,              0.0048802,              0.0048802
                      9,                 3.3432,                 3.6175,                 4.0082,                      0,                      0,                      0,                      0,                 2.7732,                 4.4428,                 4.0909,               0.046374,              0.0053743,              0.0053743
                     10,                 3.1644,                 3.5149,                 4.0529,                      0,                      0,                      0,                      0,                 2.7724,                 4.4389,                 4.0918,               0.040857,              0.0058565,              0.0058565
                     11,                 3.2086,                 3.3505,                 3.9109,                      0,                      0,                      0,                      0,                 2.7724,                 4.4361,                 4.0937,               0.035327,              0.0063268,              0.0063268
                     12,                 3.0344,                 3.3372,                  3.827,                      0,                      0,                      0,                      0,                 2.7758,                 4.4443,                 4.0998,               0.029785,              0.0067852,              0.0067852
                     13,                 2.9043,                 2.9107,                 3.6434,                      0,                      0,                      0,                      0,                 2.7736,                 4.4393,                 4.1026,               0.024232,              0.0072318,              0.0072318
                     14,                  2.985,                 3.0851,                 3.6311,                      0,                      0,                      0,                      0,                  2.775,                  4.444,                 4.1077,               0.018666,              0.0076665,              0.0076665
                     15,                 2.8724,                 3.0098,                 3.6053,                      0,                      0,                      0,                      0,                 2.7699,                 4.4246,                 4.1083,               0.013089,              0.0080892,              0.0080892
                     16,                 2.7621,                 3.3702,                 3.5751,                      0,                      0,                      0,                      0,                 2.7672,                 4.3752,                  4.104,               0.008416,               0.008416,               0.008416
                     17,                 2.8751,                 3.2406,                 3.5157,                0.01264,                      1,                0.39541,                0.12312,                 2.5614,                 3.5094,                 3.8678,               0.008416,               0.008416,               0.008416
                     18,                 2.4955,                 3.1827,                 3.3423,                0.01061,                      1,                0.42333,                 0.1854,                 2.2729,                 3.2759,                 3.6301,               0.008317,               0.008317,               0.008317
                     19,                 2.5716,                 2.8096,                 3.2358,                0.24124,                    0.5,                0.56305,                0.26062,                 2.2008,                 10.818,                 3.3426,               0.008218,               0.008218,               0.008218
                     20,                 2.4667,                  3.039,                 3.2441,                0.15265,                  0.125,                 0.0764,                0.03117,                 2.0588,                 3.7792,                 3.1006,               0.008119,               0.008119,               0.008119
                     21,                 2.2695,                 2.5051,                 3.0404,                0.38189,                  0.625,                0.39697,                0.19266,                 2.0128,                 4.0255,                 5.1112,                0.00802,                0.00802,                0.00802
                     22,                 2.4997,                 2.4792,                 3.1077,                0.31407,                0.74435,                0.42485,                0.17401,                 2.0642,                 5.2141,                 4.3632,               0.007921,               0.007921,               0.007921
                     23,                 2.4281,                 2.4843,                 3.0034,                0.10286,                   0.75,                0.47862,                0.21406,                  2.381,                 42.652,                 5.1418,               0.007822,               0.007822,               0.007822
                     24,                 2.2991,                 2.3992,                 2.9078,                 0.2839,                      1,                0.78717,                0.23512,                  2.451,                 22.749,                 5.1965,               0.007723,               0.007723,               0.007723
