                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5101,                 5.4586,                 4.1502,                      0,                      0,                      0,                      0,                 3.5736,                 5.2263,                 4.1212,                 0.0874,                 0.0014,                 0.0014
                      1,                 3.8038,                 4.5832,                 4.1882,                      0,                      0,                      0,                      0,                 3.5673,                 4.8994,                 4.0923,               0.073871,              0.0028713,              0.0028713
                      2,                  3.847,                 4.3479,                 4.1426,                      0,                      0,                      0,                      0,                 3.5629,                 4.7599,                 4.0603,               0.060313,              0.0043129,              0.0043129
                      3,                 3.7511,                 3.9941,                 4.0758,                      0,                      0,                      0,                      0,                 3.5631,                 4.7045,                 4.0473,               0.046725,              0.0057248,              0.0057248
                      4,                 3.3958,                 3.8008,                 3.9281,                      0,                      0,                      0,                      0,                 3.5618,                 4.6789,                 4.0441,               0.033107,               0.007107,               0.007107
                      5,                 3.2536,                 3.4988,                 3.7156,                      0,                      0,                      0,                      0,                 3.5772,                 4.6519,                 4.0368,               0.019459,              0.0084594,              0.0084594
                      6,                 2.9078,                 3.3478,                 3.4283,                0.04224,                0.47368,                0.04138,                0.01096,                  3.304,                 3.6439,                  3.437,               0.009406,               0.009406,               0.009406
                      7,                  2.654,                 3.1528,                 2.9628,                0.05482,                0.10526,                0.04683,                0.01244,                 2.6397,                 3.8191,                 3.1631,               0.009406,               0.009406,               0.009406
                      8,                 2.6458,                 3.0326,                 2.9685,                0.02177,                0.68421,                0.09727,                0.02642,                 2.7345,                 206.97,                 6.3624,               0.009307,               0.009307,               0.009307
                      9,                 2.4258,                 2.7834,                 2.7737,                0.56511,                0.31579,                0.37206,                0.11645,                 2.6859,                 10.527,                 4.2535,               0.009208,               0.009208,               0.009208
                     10,                 2.2841,                 2.6913,                 2.5174,                0.00205,                0.26316,                0.00138,                0.00047,                 3.2017,                 272.86,                 4.8432,               0.009109,               0.009109,               0.009109
                     11,                 2.4164,                 2.5905,                 2.6879,                 0.1647,                0.73684,                0.50937,                0.19022,                 2.3341,                 28.471,                 3.3916,                0.00901,                0.00901,                0.00901
                     12,                 2.2101,                 2.4746,                 2.4299,                0.19373,                0.12748,                0.16864,                0.05664,                 2.6081,                 3.1762,                 3.2389,               0.008911,               0.008911,               0.008911
                     13,                 2.1828,                 2.2904,                 2.5061,                0.72749,                0.57895,                0.72333,                0.30999,                 1.9196,                  5.386,                 2.3371,               0.008812,               0.008812,               0.008812
                     14,                 2.0514,                 2.0846,                 2.3169,                0.47375,                0.63158,                0.53606,                0.22711,                 2.1281,                 3.0248,                  2.447,               0.008713,               0.008713,               0.008713
                     15,                 2.0741,                 1.9831,                 2.2969,                0.67693,                0.68421,                0.70404,                0.26314,                 2.0905,                 5.4865,                 2.5106,               0.008614,               0.008614,               0.008614
                     16,                 1.8384,                 1.9168,                 2.1609,                0.85376,                0.05263,                0.07137,                0.02765,                 2.8207,                 4.5881,                 3.0506,               0.008515,               0.008515,               0.008515
                     17,                 1.7075,                 1.7137,                 2.0174,                0.70468,                0.57895,                0.68253,                0.37172,                 1.6603,                 2.0297,                 1.9545,               0.008416,               0.008416,               0.008416
                     18,                 1.9437,                 1.7654,                 2.2289,                0.53489,                0.63158,                0.60725,                0.32916,                 1.6352,                 1.8193,                 2.0265,               0.008317,               0.008317,               0.008317
